creator_id,signup_date,country,platform
1,2024-01-01,UK,Blog
2,2024-01-02,Canada,Instagram
3,2024-01-03,India,Instagram
4,2024-01-04,UK,Twitter
5,2024-01-05,UK,Blog
6,2024-01-06,Canada,Instagram
7,2024-01-07,India,Twitter
8,2024-01-08,India,Blog
9,2024-01-09,UK,Twitter
10,2024-01-10,USA,YouTube
11,2024-01-11,UK,Instagram
12,2024-01-12,UK,YouTube
13,2024-01-13,UK,Blog
14,2024-01-14,UK,YouTube
15,2024-01-15,Canada,YouTube
16,2024-01-16,India,Blog
17,2024-01-17,Canada,Twitter
18,2024-01-18,Canada,YouTube
19,2024-01-19,Canada,Twitter
20,2024-01-20,UK,YouTube
21,2024-01-21,USA,Twitter
22,2024-01-22,India,Blog
23,2024-01-23,USA,YouTube
24,2024-01-24,Canada,Blog
25,2024-01-25,Canada,YouTube
26,2024-01-26,USA,Blog
27,2024-01-27,USA,Blog
28,2024-01-28,USA,YouTube
29,2024-01-29,Canada,YouTube
30,2024-01-30,Canada,YouTube
31,2024-01-31,India,Instagram
32,2024-02-01,India,Twitter
33,2024-02-02,Canada,Instagram
34,2024-02-03,USA,Instagram
35,2024-02-04,USA,Blog
36,2024-02-05,India,YouTube
37,2024-02-06,Canada,Twitter
38,2024-02-07,India,Blog
39,2024-02-08,India,Instagram
40,2024-02-09,UK,YouTube
41,2024-02-10,UK,Blog
42,2024-02-11,UK,YouTube
43,2024-02-12,USA,Blog
44,2024-02-13,Canada,YouTube
45,2024-02-14,Canada,Instagram
46,2024-02-15,Canada,Twitter
47,2024-02-16,Canada,Instagram
48,2024-02-17,UK,Twitter
49,2024-02-18,USA,YouTube
50,2024-02-19,USA,Blog
51,2024-02-20,UK,Instagram
52,2024-02-21,USA,Twitter
53,2024-02-22,UK,Instagram
54,2024-02-23,Canada,Twitter
55,2024-02-24,UK,Instagram
56,2024-02-25,Canada,Twitter
57,2024-02-26,Canada,Twitter
58,2024-02-27,India,YouTube
59,2024-02-28,UK,Twitter
60,2024-02-29,India,YouTube
61,2024-03-01,UK,Twitter
62,2024-03-02,UK,Blog
63,2024-03-03,India,Blog
64,2024-03-04,India,Blog
65,2024-03-05,UK,Twitter
66,2024-03-06,USA,YouTube
67,2024-03-07,Canada,YouTube
68,2024-03-08,India,Twitter
69,2024-03-09,Canada,Blog
70,2024-03-10,USA,Blog
71,2024-03-11,USA,YouTube
72,2024-03-12,USA,Blog
73,2024-03-13,India,Instagram
74,2024-03-14,USA,YouTube
75,2024-03-15,India,Blog
76,2024-03-16,USA,YouTube
77,2024-03-17,Canada,Instagram
