event_id,creator_id,event_type,event_date
1,16,share_link,2024-04-26
2,182,signup,2024-01-09
3,499,create_link,2024-05-05
4,329,purchase,2024-03-17
5,129,purchase,2024-01-10
6,42,purchase,2024-04-11
7,403,visit,2024-02-27
8,481,share_link,2024-04-22
9,418,create_link,2024-06-28
10,336,share_link,2024-06-10
11,236,visit,2024-04-15
12,360,create_link,2024-02-04
13,439,create_link,2024-04-12
14,402,signup,2024-04-12
15,34,share_link,2024-06-09
16,345,share_link,2024-06-08
17,381,signup,2024-04-06
18,45,purchase,2024-05-15
19,134,visit,2024-06-22
20,21,share_link,2024-05-21
21,122,signup,2024-05-15
22,70,create_link,2024-04-15
23,352,signup,2024-03-11
24,361,purchase,2024-03-17
25,48,visit,2024-02-23
26,491,purchase,2024-01-21
27,39,create_link,2024-04-20
28,287,create_link,2024-03-15
29,490,create_link,2024-01-14
30,10,create_link,2024-01-02
31,30,signup,2024-04-17
32,244,create_link,2024-05-24
33,274,create_link,2024-03-18
34,444,signup,2024-02-17
35,88,create_link,2024-03-31
36,244,purchase,2024-05-15
37,381,purchase,2024-01-17
38,329,share_link,2024-01-12
39,479,purchase,2024-06-14
40,15,visit,2024-05-25
41,4,visit,2024-01-26
42,191,visit,2024-02-06
43,168,signup,2024-03-10
44,9,purchase,2024-06-17
45,109,visit,2024-03-19
46,137,share_link,2024-06-18
47,154,signup,2024-03-30
48,388,share_link,2024-02-10
49,209,purchase,2024-06-23
50,272,create_link,2024-05-21
51,143,share_link,2024-05-08
52,99,create_link,2024-01-17
53,377,signup,2024-02-22
54,308,share_link,2024-04-27
55,69,share_link,2024-04-18
56,247,signup,2024-06-07
57,261,signup,2024-05-15
58,276,visit,2024-06-06
59,79,purchase,2024-03-17
60,146,share_link,2024-03-20
61,111,share_link,2024-02-14
62,258,signup,2024-01-18
63,93,signup,2024-04-08
64,13,purchase,2024-06-21
65,260,signup,2024-05-26
66,426,create_link,2024-03-08
67,109,create_link,2024-03-23
68,330,create_link,2024-02-19
69,189,create_link,2024-01-25
70,95,purchase,2024-06-14
71,105,share_link,2024-04-30
72,8,create_link,2024-06-12
73,67,signup,2024-03-08
74,496,create_link,2024-02-25
75,191,purchase,2024-02-08
76,366,signup,2024-03-03
77,256,create_link,2024-05-07
78,9,share_link,2024-05-14
79,478,signup,2024-05-01
80,117,signup,2024-02-28
81,267,share_link,2024-02-17
82,99,signup,2024-05-12
83,485,create_link,2024-02-05
84,298,signup,2024-03-28
85,397,create_link,2024-01-25
86,164,share_link,2024-06-21
87,376,visit,2024-01-19
88,141,share_link,2024-05-14
89,268,create_link,2024-03-06
90,37,purchase,2024-03-20
91,74,share_link,2024-06-15
92,73,purchase,2024-05-04
93,308,purchase,2024-05-25
94,199,create_link,2024-04-12
95,130,create_link,2024-05-08
96,246,visit,2024-05-10
97,312,signup,2024-05-06
98,60,share_link,2024-01-21
99,279,create_link,2024-05-05
100,103,share_link,2024-05-03
101,296,purchase,2024-06-06
102,320,signup,2024-01-11
103,487,visit,2024-01-22
104,341,share_link,2024-04-20
105,151,signup,2024-05-04
106,157,visit,2024-02-26
107,206,share_link,2024-03-29
